Name,PriceInText,Price,City,Year,Distance,Fuel,HorsePower,Transmission,Certified,ManagedBy,Distance2
Toyota Vitz  2018 1.0F Safety Edition III,PKR 42 lacs,4200000,Islamabad,2018,"89,000km",Petrol,1000cc,Automatic,Not Certified,Customer,89000
Toyota Corolla  2021 Altis X Automatic 1.6,PKR 53.25 lacs,5325000,Karachi,2021,"41,000km",Petrol,1598cc,Automatic,Not Certified,Customer,41000
Suzuki Alto  2012 E,PKR 24.5 lacs,2450000,Lahore,2012,"70,000km",Petrol,660cc,Automatic,Not Certified,Customer,70000
Daihatsu Charade  1984 ,PKR 1.7 lacs,170000,Karachi,1984,"2,000km",Petrol,1000cc,Manual,Not Certified,Customer,2000
Suzuki Alto  2009 VXR,PKR 11.5 lacs,1150000,Lahore,2009,"50,000km",Petrol,1000cc,Manual,Not Certified,Customer,50000
Toyota Corolla 9th (E120) Generation 2004 2.0D Saloon,PKR 13.95 lacs,1395000,Lahore,2004,"150,000km",Petrol,2000cc,Manual,Not Certified,Customer,150000
Isuzu NKR  2017 ,PKR 42 lacs,4200000,Islamabad,2017,"520,000km",Diesel,2800cc,Manual,Not Certified,Customer,520000
Suzuki Cultus  2002 VXR,PKR 9.8 lacs,980000,Karachi,2002,"60,805km",Petrol,1000cc,Manual,Not Certified,Customer,60805
Toyota Vitz  2018 F M Package 1.0,PKR 40 lacs,4000000,Karachi,2018,"59,000km",Petrol,996cc,Automatic,Not Certified,Customer,59000
Toyota Corolla  1987 ,PKR 10 lacs,1000000,Abbottabad,1987,"300,000km",Petrol,1800cc,Automatic,Not Certified,Customer,300000
Honda Civic Reborn 2010 VTi Oriel Prosmatec 1.8 i-VTEC,PKR 22.6 lacs,2260000,Gojra,2010,"85,000km",Petrol,1800cc,Automatic,Not Certified,Customer,85000
Suzuki Every  2020 PA,PKR 25.9 lacs,2590000,Gujranwala,2020,"143,000km",Petrol,660cc,Automatic,Not Certified,Customer,143000
Daihatsu Mira  2012 X Memorial Edition,PKR 21 lacs,2100000,Karachi,2012,"94,000km",Petrol,660cc,Automatic,Not Certified,Customer,94000
