Name,PriceInText,Price,City,Year,Distance,Fuel,HorsePower,Transmission,Certified,ManagedBy,Distance2
Nissan Roox  2012 ,PKR 17.2 lacs,1720000,Lahore,2012,"125,000km",Petrol,660cc,Automatic,Not Certified,Customer,125000
Honda BR-V  2018 i-VTEC,PKR 37.8 lacs,3779999,Karachi,2018,"85,000km",Petrol,1500cc,Automatic,Not Certified,Customer,85000
Honda Civic  2016 Oriel 1.8 i-VTEC CVT,PKR 46.5 lacs,4650000,Lahore,2016,"71,000km",Petrol,1800cc,Automatic,Not Certified,Customer,71000
Suzuki Wagon R  2022 VXL,PKR 31 lacs,3100000,Lahore,2022,17km,Petrol,1000cc,Manual,Not Certified,Customer,17
Suzuki Wagon R  2021 Hybrid FX,PKR 35.9 lacs,3590000,Peshawar,2021,"10,000km",Hybrid,660cc,Automatic,Not Certified,Customer,10000
Honda Civic  1997 VTi 1.6,PKR 9.5 lacs,950000,Mansehra,1997,"123,456km",Petrol,1600cc,Manual,Not Certified,Customer,123456
Suzuki Mehran  2003 ,PKR 8 lacs,800000,JalalpurPirwala,2003,"12,345km",Petrol,800cc,Manual,Not Certified,Customer,12345
Honda Civic  2006 VTi Oriel Prosmatec 1.6,PKR 21 lacs,2100000,Kamra,2006,"165,000km",Petrol,1600cc,Automatic,Not Certified,Customer,165000
Honda City 5th (GM2) Generation 2017 1.3 i-VTEC,PKR 31.5 lacs,3150000,Faisalabad,2017,"75,000km",Petrol,1300cc,Manual,Not Certified,Customer,75000
Toyota Fortuner  2020 2.7 VVTi,PKR 1.32 crore,13200000,Lahore,2020,"27,000km",Petrol,2700cc,Automatic,Not Certified,Customer,27000
Honda City 5th (GM2) Generation 2017 1.3 i-VTEC,PKR 31.5 lacs,3150000,Khanpur,2017,"880,000km",Petrol,1300cc,Manual,Not Certified,Customer,880000
Toyota Yaris Hatchback  2021 ,PKR 46.5 lacs,4650000,Islamabad,2021,"76,000km",Petrol,1000cc,Automatic,Not Certified,Customer,76000
Honda Civic  2022 1.5 VTEC Turbo Oriel,PKR 73.5 lacs,7350000,Islamabad,2022,"59,000km",Petrol,1500cc,Automatic,Not Certified,Customer,59000
Toyota Prius  2014 G LED Edition 1.8,PKR 51 lacs,5100000,Islamabad,2014,"140,000km",Hybrid,1800cc,Automatic,Not Certified,Customer,140000
Suzuki Mehran  2018 VXR Euro II,PKR 14.6 lacs,1460000,Islamabad,2018,"59,000km",Petrol,800cc,Manual,Not Certified,Customer,59000
Honda Accord  2007 CL8,PKR 37.5 lacs,3750000,Islamabad,2007,"168,000km",Petrol,2400cc,Automatic,Not Certified,Customer,168000
Nissan Skyline  2002 ,PKR 32 lacs,3200000,Islamabad,2002,"95,000km",Petrol,2000cc,Automatic,Not Certified,Customer,95000
